sku,barcode
223367,7804609730350
223367,223367
223366,7804609730596
223366,7804609730503
223366,223366
223318,2600028027621
223318,223318
223316,2600028027607
223316,223316
223310,2600028027553
223310,223310
222905,2600028025139
222905,222905
222415,7703305162666
222415,222415
222414,7702155054510
222414,222414
222413,7702155038077
222413,222413
222412,7702155038466
222412,222412
222411,7702155032396
222411,222411
222410,7702155032419
222410,222410
222409,7702155028603
222409,222409
222408,7702155034437
222408,222408
222407,7702155015207
222407,222407
222406,7702155040650
222406,222406
222405,7702155017423
222405,222405
222404,7702155016457
222404,222404
222403,7702155021451
222403,222403
222402,7702155015818
222402,222402
222401,7702155038480
222401,222401
222400,7702155015801
222400,222400
222399,7702155045785
222399,222399
222398,7702155035830
222398,222398
222397,7702155035199
222397,222397
222396,7702155043095
222396,222396
222395,7702155035236
222395,222395
222394,7702155037650
222394,222394
222393,7702155015214
222393,222393
222392,7702155027941
222392,222392
222391,7702155027934
222391,222391
222390,7702155030378
222390,222390
222389,7702155048090
222389,222389
222388,7702155048076
222388,222388
222387,7702155028696
222387,222387
222206,2600028019091
222206,222206
222205,2600028019084
222205,222205
222204,2600028019077
222204,222204
222203,2600028019060
222203,222203
222182,2600028018889
222182,222182
222020,7805040001870
222020,222020
222019,7805040001863
222019,222019
222018,7805040000262
222018,222018
222017,7805040000255
222017,222017
222016,7805040313515
222016,222016
222015,7805040318138
222015,7805040001535
222015,222015
222014,7805040313140
222014,222014
222013,7805040313133
222013,222013
222012,7805040003614
222012,222012
222011,7805040003454
222011,222011
222010,7805040003812
222010,222010
222009,7805040001313
222009,222009
222008,7805040002136
222008,222008
222007,7805040001016
222007,222007
222006,7805040004840
222006,222006
222005,7805040001832
222005,222005
222004,7805040001825
222004,222004
222003,7805040000781
222003,222003
222002,7805040004499
222002,222002
222001,7805040000620
222001,222001
222000,7805040000613
222000,222000
221999,7805040000606
221999,221999
221998,7805040000576
221998,221998
221997,7805040000552
221997,221997
221996,7805040004949
221996,221996
221995,7805040003928
221995,221995
221994,7805040004437
221994,221994
221993,7805040003935
221993,221993
221992,7805040001061
221992,221992
221574,2600028015369
221574,221574
