sku,current_stock,free_stock_value,blocked_stock,blocked_stock_value
100664,0.0,0.0,0.0,0.0
100667,0.0,0.0,0.0,0.0
100671,0.0,0.0,0.0,0.0
100678,0.0,0.0,0.0,0.0
100687,0.0,0.0,0.0,0.0
100721,48.0,88154.0,0.0,0.0
100817,0.0,0.0,0.0,0.0
100828,0.0,0.0,0.0,0.0
100832,0.0,0.0,0.0,0.0
100850,0.0,0.0,0.0,0.0
100851,0.0,0.0,0.0,0.0
100855,0.0,0.0,0.0,0.0
100859,0.0,0.0,0.0,0.0
100862,0.0,0.0,0.0,0.0
100863,0.0,0.0,0.0,0.0
100867,0.0,0.0,0.0,0.0
100868,0.0,0.0,0.0,0.0
100870,0.0,0.0,0.0,0.0
100874,0.0,0.0,0.0,0.0
100877,0.0,0.0,0.0,0.0
100896,0.0,0.0,0.0,0.0
100899,0.0,0.0,0.0,0.0
100900,0.0,0.0,0.0,0.0
100902,0.0,0.0,0.0,0.0
100905,0.0,0.0,0.0,0.0
100906,0.0,0.0,0.0,0.0
100907,0.0,0.0,0.0,0.0
100922,0.0,0.0,0.0,0.0
100924,0.0,0.0,0.0,0.0
100926,0.0,0.0,0.0,0.0
100927,0.0,0.0,0.0,0.0
100931,0.0,0.0,0.0,0.0
10094,0.0,0.0,0.0,0.0
100943,0.0,0.0,0.0,0.0
100950,0.0,0.0,0.0,0.0
100959,0.0,0.0,0.0,0.0
10097,0.0,0.0,0.0,0.0
100970,0.0,0.0,0.0,0.0
100977,0.0,0.0,0.0,0.0
100999,0.0,0.0,0.0,0.0
10100,0.0,0.0,0.0,0.0
101002,0.0,0.0,0.0,0.0
101008,0.0,0.0,0.0,0.0
10101,0.0,0.0,0.0,0.0
101017,0.0,0.0,0.0,0.0
10102,0.0,0.0,0.0,0.0
101026,0.0,0.0,0.0,0.0
101031,0.0,0.0,0.0,0.0
101036,0.0,0.0,0.0,0.0
101039,0.0,0.0,0.0,0.0
101042,0.0,0.0,0.0,0.0
101043,0.0,0.0,0.0,0.0
101048,0.0,0.0,0.0,0.0
10105,0.0,0.0,0.0,0.0
101065,0.0,0.0,0.0,0.0
101066,0.0,0.0,0.0,0.0
101067,0.0,0.0,0.0,0.0
101068,0.0,0.0,0.0,0.0
101071,0.0,0.0,0.0,0.0
101074,0.0,0.0,0.0,0.0
101099,0.0,0.0,0.0,0.0
101102,0.0,0.0,0.0,0.0
101121,0.0,0.0,0.0,0.0
10115,0.0,0.0,0.0,0.0
101156,0.0,0.0,0.0,0.0
101165,0.0,0.0,0.0,0.0
10117,0.0,0.0,0.0,0.0
101172,30.0,75757.0,0.0,0.0
101173,15.0,41557.0,0.0,0.0
101174,8.0,30446.0,0.0,0.0
101175,0.0,0.0,0.0,0.0
101189,0.0,0.0,0.0,0.0
101190,0.0,0.0,0.0,0.0
101192,0.0,0.0,0.0,0.0
101196,0.0,0.0,0.0,0.0
101197,0.0,0.0,0.0,0.0
101208,0.0,0.0,0.0,0.0
101222,0.0,0.0,0.0,0.0
101250,0.0,0.0,0.0,0.0
101255,0.0,0.0,0.0,0.0
101258,0.0,0.0,0.0,0.0
101261,0.0,0.0,0.0,0.0
101269,0.0,0.0,0.0,0.0
101279,0.0,0.0,0.0,0.0
101290,0.0,0.0,0.0,0.0
101302,0.0,0.0,0.0,0.0
101304,0.0,0.0,0.0,0.0
101305,0.0,0.0,0.0,0.0
101307,0.0,0.0,0.0,0.0
101314,0.0,0.0,0.0,0.0
101317,0.0,0.0,0.0,0.0
101319,0.0,0.0,0.0,0.0
101322,0.0,0.0,0.0,0.0
101335,0.0,0.0,0.0,0.0
101348,0.0,0.0,0.0,0.0
101366,0.0,0.0,0.0,0.0
101367,0.0,0.0,0.0,0.0
101368,0.0,0.0,0.0,0.0
101373,0.0,0.0,0.0,0.0
101375,0.0,0.0,0.0,0.0
101383,0.0,0.0,0.0,0.0
101387,0.0,0.0,0.0,0.0
101391,0.0,0.0,0.0,0.0
101398,0.0,0.0,0.0,0.0
101401,0.0,0.0,0.0,0.0
101404,0.0,0.0,0.0,0.0
101405,0.0,0.0,0.0,0.0
101411,0.0,0.0,0.0,0.0
101417,0.0,0.0,0.0,0.0
101420,0.0,0.0,0.0,0.0
101424,0.0,0.0,0.0,0.0
101432,0.0,0.0,0.0,0.0
101435,0.0,0.0,0.0,0.0
101438,0.0,0.0,0.0,0.0
101440,0.0,0.0,0.0,0.0
101448,0.0,0.0,0.0,0.0
101450,0.0,0.0,0.0,0.0
101475,0.0,0.0,0.0,0.0
101476,0.0,0.0,0.0,0.0
101477,0.0,0.0,0.0,0.0
101480,0.0,0.0,0.0,0.0
101485,0.0,0.0,0.0,0.0
101489,0.0,0.0,0.0,0.0
101494,0.0,0.0,0.0,0.0
101503,0.0,0.0,0.0,0.0
101507,0.0,0.0,0.0,0.0
101512,0.0,0.0,0.0,0.0
101542,0.0,0.0,0.0,0.0
101546,0.0,0.0,0.0,0.0
101547,0.0,0.0,0.0,0.0
101554,0.0,0.0,0.0,0.0
101559,0.0,0.0,0.0,0.0
101564,0.0,0.0,0.0,0.0
101565,0.0,0.0,0.0,0.0
101573,0.0,0.0,0.0,0.0
101578,0.0,0.0,0.0,0.0
101584,0.0,0.0,0.0,0.0
101586,0.0,0.0,0.0,0.0
101594,0.0,0.0,0.0,0.0
101600,0.0,0.0,0.0,0.0
101612,0.0,0.0,0.0,0.0
101625,0.0,0.0,0.0,0.0
101626,0.0,0.0,0.0,0.0
101631,0.0,0.0,0.0,0.0
101635,0.0,0.0,0.0,0.0
101644,0.0,0.0,0.0,0.0
101647,0.0,0.0,0.0,0.0
101650,0.0,0.0,0.0,0.0
101664,0.0,0.0,0.0,0.0
101667,0.0,0.0,0.0,0.0
101668,0.0,0.0,0.0,0.0
101670,0.0,0.0,0.0,0.0
101671,0.0,0.0,0.0,0.0
101678,0.0,0.0,0.0,0.0
101680,0.0,0.0,0.0,0.0
101686,0.0,0.0,0.0,0.0
101696,0.0,0.0,0.0,0.0
101697,0.0,0.0,0.0,0.0
101702,7.0,15504.0,0.0,0.0
101703,0.0,0.0,0.0,0.0
101710,0.0,0.0,0.0,0.0
101721,0.0,0.0,0.0,0.0
101725,0.0,0.0,0.0,0.0
101758,0.0,0.0,0.0,0.0
10176,0.0,0.0,0.0,0.0
101764,0.0,0.0,0.0,0.0
101770,0.0,0.0,0.0,0.0
101806,0.0,0.0,0.0,0.0
101807,0.0,0.0,0.0,0.0
101809,0.0,0.0,0.0,0.0
101811,0.0,0.0,0.0,0.0
101822,0.0,0.0,0.0,0.0
101830,0.0,0.0,0.0,0.0
101850,0.0,0.0,0.0,0.0
101851,0.0,0.0,0.0,0.0
101877,0.0,0.0,0.0,0.0
101879,0.0,0.0,0.0,0.0
101908,0.0,0.0,0.0,0.0
101914,0.0,0.0,0.0,0.0
101953,0.0,0.0,0.0,0.0
101954,0.0,0.0,0.0,0.0
101982,0.0,0.0,0.0,0.0
101989,0.0,0.0,0.0,0.0
102020,0.0,0.0,0.0,0.0
102023,0.0,0.0,0.0,0.0
102032,0.0,0.0,0.0,0.0
102054,0.0,0.0,0.0,0.0
102055,0.0,0.0,0.0,0.0
10206,0.0,0.0,0.0,0.0
102071,0.0,0.0,0.0,0.0
102076,0.0,0.0,0.0,0.0
102101,0.0,0.0,0.0,0.0
102125,0.0,0.0,0.0,0.0
102139,0.0,0.0,0.0,0.0
102149,0.0,0.0,0.0,0.0
102160,0.0,0.0,0.0,0.0
102163,0.0,0.0,0.0,0.0
102185,0.0,0.0,0.0,0.0
102203,0.0,0.0,0.0,0.0
102214,0.0,0.0,0.0,0.0
102228,0.0,0.0,0.0,0.0
102299,0.0,0.0,0.0,0.0
102302,0.0,0.0,0.0,0.0
102306,0.0,0.0,0.0,0.0
102319,0.0,0.0,0.0,0.0
102324,0.0,0.0,0.0,0.0
102337,0.0,0.0,0.0,0.0
102342,0.0,0.0,0.0,0.0
102343,0.0,0.0,0.0,0.0
102350,0.0,0.0,0.0,0.0
102351,0.0,0.0,0.0,0.0
102363,0.0,0.0,0.0,0.0
102378,0.0,0.0,0.0,0.0
102382,0.0,0.0,0.0,0.0
102390,0.0,0.0,0.0,0.0
102400,0.0,0.0,0.0,0.0
102402,0.0,0.0,0.0,0.0
10241,0.0,0.0,0.0,0.0
102412,0.0,0.0,0.0,0.0
102414,0.0,0.0,0.0,0.0
102415,0.0,0.0,0.0,0.0
102423,0.0,0.0,0.0,0.0
102429,0.0,0.0,0.0,0.0
102432,0.0,0.0,0.0,0.0
102439,0.0,0.0,0.0,0.0
10244,0.0,0.0,0.0,0.0
102449,0.0,0.0,0.0,0.0
102455,0.0,0.0,0.0,0.0
102466,0.0,0.0,0.0,0.0
102470,0.0,0.0,0.0,0.0
102473,0.0,0.0,0.0,0.0
102476,0.0,0.0,0.0,0.0
102491,0.0,0.0,0.0,0.0
102496,0.0,0.0,0.0,0.0
102499,0.0,0.0,0.0,0.0
102505,0.0,0.0,0.0,0.0
102514,0.0,0.0,0.0,0.0
102521,0.0,0.0,0.0,0.0
102526,0.0,0.0,0.0,0.0
10253,0.0,0.0,0.0,0.0
102533,0.0,0.0,0.0,0.0
102536,0.0,0.0,0.0,0.0
102546,0.0,0.0,0.0,0.0
102548,0.0,0.0,0.0,0.0
102549,0.0,0.0,0.0,0.0
102562,0.0,0.0,0.0,0.0
102572,0.0,0.0,0.0,0.0
102575,0.0,0.0,0.0,0.0
102581,0.0,0.0,0.0,0.0
102597,0.0,0.0,0.0,0.0
102599,0.0,0.0,0.0,0.0
102603,0.0,0.0,0.0,0.0
102606,0.0,0.0,0.0,0.0
102608,0.0,0.0,0.0,0.0
102609,0.0,0.0,0.0,0.0
102618,0.0,0.0,0.0,0.0
102621,0.0,0.0,0.0,0.0
102649,0.0,0.0,0.0,0.0
102657,0.0,0.0,0.0,0.0
102668,0.0,0.0,0.0,0.0
102672,0.0,0.0,0.0,0.0
102674,0.0,0.0,0.0,0.0
102675,0.0,0.0,0.0,0.0
102678,0.0,0.0,0.0,0.0
102688,0.0,0.0,0.0,0.0
102705,0.0,0.0,0.0,0.0
102790,0.0,0.0,0.0,0.0
102803,0.0,0.0,0.0,0.0
102832,0.0,0.0,0.0,0.0
102842,0.0,0.0,0.0,0.0
102863,0.0,0.0,0.0,0.0
102868,0.0,0.0,0.0,0.0
102891,0.0,0.0,0.0,0.0
102907,0.0,0.0,0.0,0.0
102930,0.0,0.0,0.0,0.0
102932,0.0,0.0,0.0,0.0
102933,0.0,0.0,0.0,0.0
102935,0.0,0.0,0.0,0.0
102936,0.0,0.0,0.0,0.0
102942,0.0,0.0,0.0,0.0
102949,0.0,0.0,0.0,0.0
103070,0.0,0.0,0.0,0.0
103103,0.0,0.0,0.0,0.0
103105,0.0,0.0,0.0,0.0
103161,0.0,0.0,0.0,0.0
103166,0.0,0.0,0.0,0.0
103173,0.0,0.0,0.0,0.0
103221,0.0,0.0,0.0,0.0
103222,0.0,0.0,0.0,0.0
103223,0.0,0.0,0.0,0.0
103234,0.0,0.0,0.0,0.0
103250,0.0,0.0,0.0,0.0
103264,0.0,0.0,0.0,0.0
103283,0.0,0.0,0.0,0.0
103303,0.0,0.0,0.0,0.0
103308,0.0,0.0,0.0,0.0
103313,0.0,0.0,0.0,0.0
103331,0.0,0.0,0.0,0.0
103349,0.0,0.0,0.0,0.0
103362,0.0,0.0,0.0,0.0
